OTU,NM-L+P+1,NM-L+P+2,NM-L+P+3,NM-L+P+4,NM-L+P+5,AM-L-P+1,AM-L-P+2,AM-L-P+3,AM-L-P+4,AM-L-P+5,NM-L+P-1,NM-L+P-2,NM-L+P-3,NM-L+P-4,NM-L+P-5,AM-L-P-1,AM-L-P-2,AM-L-P-3,AM-L-P-4,AM-L-P-5
OTU141,0,0,0,0,0,0,1,0,1,0,0,439,289,299,1,51,1,0,0,0
OTU142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU144,0,0,1,0,0,0,80,0,0,0,0,0,66,0,1,0,0,0,0,0
OTU145,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,1
OTU146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU147,0,0,0,0,0,0,41,0,0,0,0,0,180,0,0,0,0,0,0,0
OTU148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU149,228,307,254,0,107,12,0,0,0,247,684,307,0,0,0,0,0,0,0,0
OTU150,499,395,23,12,7,576,370,0,0,0,0,267,0,0,0,71,0,0,0,0
OTU151,0,0,1,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0
OTU152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU153,88,322,233,163,407,166,141,3,0,37,0,0,0,31,0,158,330,0,0,3
OTU154,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,86,0,0,0,0
OTU155,0,0,0,0,0,87,216,0,0,0,0,522,0,0,0,105,0,0,0,0
OTU156,0,0,1,0,0,0,123,0,0,0,0,0,141,0,0,0,0,0,0,0
OTU157,1,0,0,2,1,100,72,0,0,0,0,0,344,0,0,3,0,0,0,0
OTU158,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0
OTU159,0,0,0,315,0,0,0,0,0,0,0,0,42,0,472,0,0,0,0,0
OTU160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU162,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,183,0,0,0,0
OTU163,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,3
OTU164,1,0,35,2,3,254,190,0,0,0,0,1,1,790,0,0,1,0,0,0
OTU165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU166,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0
OTU167,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU168,0,0,0,3,1,99,134,0,0,0,0,374,67,0,0,2,0,0,0,0
OTU169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU170,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU171,0,0,0,0,0,0,0,0,0,0,0,0,455,0,0,90,0,1,0,0
OTU172,0,0,0,0,0,199,183,0,0,0,0,0,0,0,0,471,0,0,0,0
OTU173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU174,0,0,106,196,0,398,420,0,0,0,1,0,453,767,1263,695,1,0,0,0
OTU175,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU177,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU180,478,1076,953,0,585,844,577,11,3,1796,3,566,0,337,1220,0,401,2,2,6
