,OTUs,a,b,c,size,Class
431,ASV29225,0.000371626,0,0,0.012387534,a
432,ASV29279,0,0.00027383,0,0.009127657,b
433,ASV29289,0,0.000443343,0,0.014778111,b
434,ASV29305,0,0.000397705,0.000117356,0.017168688,b
435,ASV29374,0.000221672,0,0,0.007389056,a
436,ASV29442,0.000945364,0,0,0.031512148,a
437,ASV29490,0,0,0.00054114,0.018037988,c
438,ASV29559,0,0.000286869,0,0.009562307,b
439,ASV29561,0.000286869,0,0,0.009562307,a
440,ASV2968,0,0,0.000215152,0.00717173,c
441,ASV29729,6.52E-05,0,0.000339027,0.01347416,c
442,ASV29794,0,0.000567219,0,0.018907289,b
443,ASV29889,0.001890729,0,0,0.063024297,a
444,ASV29995,0,0.000436824,0,0.014560786,b
445,ASV3,0.000854088,0.00080845,0,0.055417916,a
446,ASV301,0,0,0.000286869,0.009562307,c
447,ASV30175,0,0.000488982,0,0.016299387,b
448,ASV3053,6.52E-06,0.003064285,0.002692659,0.192115443,b
449,ASV3066,0.000123875,0.001577781,0,0.056721867,b
450,ASV3071,0,0.001356109,0,0.045203634,b
451,ASV3072,0.000247751,0.001232234,0.000423784,0.063458947,b
452,ASV30797,0.00025427,0,0,0.008475681,a
453,ASV308,0,0.000293389,0,0.009779632,b
454,ASV3083,0,0.000665015,0.000495501,0.038683879,b
455,ASV3092,0,0,0.001017082,0.033902725,c
456,ASV3095,0.000215152,0,0,0.00717173,a
457,ASV3102,0,0.000449863,0.000378146,0.027600296,b
458,ASV3103,0.000964924,0,0,0.032164124,a
459,ASV3104,0.000469422,0,5.22E-05,0.017386013,a
460,ASV3105,0.002444908,0.004127005,0,0.219063763,b
461,ASV3116,0.000247751,0,0,0.008258356,a
462,ASV3119,0.000339027,0,0,0.011300908,a
463,ASV312,0.000397705,0,0,0.013256835,a
464,ASV3120,0.000299909,0,0,0.009996957,a
465,ASV3127,0,0.000345547,0,0.011518234,b
466,ASV3131,0,0.001975486,0.000560699,0.084539488,b
467,ASV3153,0,0.000247751,0,0.008258356,b
468,ASV3168,0.000123875,0.00054114,0,0.022167167,b
469,ASV317,0,0.000221672,0.000299909,0.017386013,c
470,ASV3203,0,0,0.000202112,0.00673708,c
471,ASV32568,0.000814969,0,0,0.027165645,a
472,ASV329,0.001004042,0,0,0.033468075,a
473,ASV33,0,0.000241231,0,0.008041031,b
474,ASV3323,2.61E-05,6.52E-06,0.000221672,0.008475681,c
475,ASV3359,0.000873647,2.61E-05,0.00027383,0.039118529,a
476,ASV339,0.002164559,0.005039771,0.006356761,0.452036337,none
477,ASV3396,0.000625896,0,0,0.020863216,a
478,ASV3398,0,0,0.000280349,0.009344982,c
479,ASV34,0.000645456,0.00026079,0,0.030208198,a
480,ASV3400,0.000736732,0,0,0.024557743,a
481,ASV3401,0,0,0.000202112,0.00673708,c
482,ASV3403,0.00185813,0,0,0.061937671,a
483,ASV3404,0,0.000984483,0.00080193,0.059547094,b
484,ASV3409,0,0.000938845,0,0.031294823,b
485,ASV341,0,0,0.000482462,0.016082062,c
486,ASV3412,0,0.00052158,0,0.017386013,b
487,ASV3416,0,3.91E-05,0.000352067,0.01303951,c
488,ASV343,0,0.000286869,0,0.009562307,b
489,ASV3431,0.000365106,0,0,0.012170209,a
490,ASV3437,0.000365106,0.000769331,0.000782371,0.063893598,none
491,ASV3455,0,0,0.000228191,0.007606381,c
492,ASV3458,0.001629939,0.000495501,0,0.070848003,a
493,ASV346,0.000430304,0,0,0.014343461,a
494,ASV3467,0.000462903,0,0,0.015430086,a
495,ASV3470,0,0,0.000241231,0.008041031,c
496,ASV3479,0,0,0.001656018,0.055200591,c
497,ASV3483,0.000515061,0.000136915,0.000319468,0.032381449,a
498,ASV3492,0.000619377,0,0,0.02064589,a
499,ASV3495,0,0.00025427,0,0.008475681,b
