,OTUs,a,b,c,size,Class
298,ASV14702,0.002107576,0,0,0.070252535,a
299,ASV14704,2.24E-06,0.00113002,0,0.037742054,b
300,ASV14712,1.12E-06,0.001440551,1.12E-06,0.048093092,b
301,ASV14724,0.002141208,0,0,0.071373587,a
302,ASV14796,1.12E-06,0.00101343,0,0.033818375,b
303,ASV14830,1.12E-06,0.000778009,0,0.025971017,b
304,ASV14869,1.12E-06,0.000344163,0,0.011509458,b
305,ASV14883,0,0.000375552,0,0.012518404,b
306,ASV149,4.93E-05,0.001110962,0,0.038676263,b
307,ASV14902,0.003629963,0,8.97E-06,0.121297729,a
308,ASV14903,0.001265667,0,0,0.04218889,a
309,ASV14904,0.002477523,0,0,0.082584098,a
310,ASV14905,0.002118787,0,0,0.070626219,a
311,ASV14906,0.002019013,0,0.002004439,0.13411508,a
312,ASV14907,0.000888994,0,0,0.029633117,a
313,ASV14908,0.000738773,0,0,0.024625756,a
314,ASV14909,0.000739894,0,0,0.024663124,a
315,ASV14910,0.00071411,0,0,0.023803652,a
316,ASV14911,0.001517903,0,0,0.050596773,a
317,ASV14912,0.000711867,0,0,0.023728915,a
318,ASV14913,0.001686061,0,0,0.056202028,a
319,ASV14914,0.001644582,0,5.61E-06,0.055006241,a
320,ASV14915,0.000656936,0,0,0.021897865,a
321,ASV14916,0.001368803,0,0,0.04562678,a
322,ASV14917,0.001125535,0,0,0.037517843,a
323,ASV14918,0.000614336,0,0,0.020477867,a
324,ASV14919,0.001217461,0,0,0.04058205,a
325,ASV14920,0.001161409,0,0,0.038713631,a
326,ASV14921,0.001238761,0,0,0.041292049,a
327,ASV14922,0.001177104,0,0,0.039236788,a
328,ASV14923,0.001100872,0,0,0.036695739,a
329,ASV14924,0.00098092,0,0,0.032697324,a
330,ASV14925,0.00082173,0,0,0.027391015,a
331,ASV14926,0.000969709,0,0,0.03232364,a
332,ASV14927,0.000366584,0,0,0.012219457,a
333,ASV14928,0.001006704,0,0,0.033556796,a
334,ASV14929,0.000346405,0,0,0.011546826,a
335,ASV14930,0.000822852,1.12E-06,0,0.027465752,a
336,ASV14931,0.000332952,0,0,0.011098406,a
337,ASV14932,0.000336315,0,0,0.011210511,a
338,ASV14933,0.000307168,0.000184973,0.000112105,0.020141551,a
339,ASV14934,0.000300442,0,0.000235421,0.017862081,a
340,ASV14935,0.000237663,0,0,0.007922094,a
341,ASV14936,0.000262326,0,0,0.008744199,a
342,ASV14937,0.000263447,0,0,0.008781567,a
343,ASV14938,0.000584068,0,0,0.019468921,a
344,ASV14939,0.000215242,0,0,0.007174727,a
345,ASV14940,0.000221968,0,0,0.007398937,a
346,ASV14941,0.000200668,0,0,0.006688938,a
347,ASV14942,0.000207394,0,0,0.006913148,a
348,ASV14946,0.000173763,0.000723078,0.000113226,0.033668901,b
349,ASV14951,0.000383399,0,0,0.012779983,a
350,ASV14952,0.000174884,0.000332952,0,0.016927872,b
351,ASV15,0,0,0.001544808,0.051493614,c
352,ASV150,0.000171521,0.000299321,7.96E-05,0.01834787,b
353,ASV15066,1.12E-06,0,0.000238784,0.007996831,c
354,ASV1509,0.000392368,0.000104258,0.000141252,0.021262602,a
355,ASV151,0,0.000616578,0,0.020552603,b
356,ASV15134,1.12E-06,0.000517926,0,0.017301555,b
357,ASV15136,0.000393489,0.000216363,9.98E-05,0.023654178,a
358,ASV15169,1.12E-06,0.000329589,0,0.011023669,b
359,ASV1518,0.000176005,0.000353131,0.000116589,0.021524181,b
360,ASV15188,0.00042712,0,0,0.014237349,a
361,ASV15290,0.001780229,0,0,0.059340971,a
362,ASV15291,0.004572767,0,0,0.152425581,a
363,ASV15292,0.001022399,0,0,0.034079953,a
364,ASV15293,0.000989888,0,0,0.032996271,a
365,ASV15294,0.000720836,0,0,0.024027862,a
366,ASV15295,0.000604247,0,0,0.020141551,a
367,ASV15296,0.000369947,0,0,0.012331562,a
368,ASV15297,0.000356494,0,0,0.011883142,a
369,ASV153,0.00035201,3.48E-05,0.000550436,0.031239957,c
370,ASV1531,0,0,0.00053362,0.017787344,c
371,ASV15311,5.61E-06,0,0.000998857,0.033482059,c
372,ASV15341,0.000254479,0,0,0.00848262,a
373,ASV15351,0,0,0.000223089,0.007436306,c
374,ASV15364,1.12E-06,0,0.000558283,0.018646817,c
375,ASV1538,0.000376673,0.000297079,2.24E-06,0.022533127,a
376,ASV15397,0,0,0.000225331,0.007511042,c
377,ASV154,0.000341921,1.12E-06,9.64E-05,0.014648401,a
378,ASV15433,0.000210758,0,0,0.007025254,a
379,ASV15442,0.000201789,0,0,0.006726307,a
380,ASV15453,0.000729804,0,0,0.024326809,a
381,ASV15489,0,0.000784736,0,0.026157859,b
382,ASV155,1.12E-06,0.000585189,0.00011771,0.023467336,b
383,ASV15609,0.000552678,0,0,0.018422606,a
384,ASV15616,0.010332728,0.002641196,0,0.432464145,a
385,ASV15617,0.004581736,1.68E-05,0,0.153285053,a
386,ASV15618,0.004659088,0,0,0.155302945,a
387,ASV15619,0.001359835,0,0,0.045327833,a
388,ASV15620,0.000903567,0,0,0.030118906,a
389,ASV15621,0.000857604,0,0,0.028586803,a
390,ASV15622,0.000758952,0,0,0.025298386,a
391,ASV15623,0.000584068,0,0,0.019468921,a
392,ASV15624,0.000517926,1.12E-06,0,0.017301555,a
393,ASV15625,0.000534741,0,0,0.017824712,a
394,ASV15626,0.000506715,0,0,0.016890503,a
395,ASV15627,0.000375552,0,0,0.012518404,a
396,ASV15628,0.000357615,0,0,0.01192051,a
397,ASV15629,0.000326226,0,0,0.010874196,a
