,OTUs,A,B,C,size,Class
291,ASV1682,6.52E-05,0.00079541,1.30E-05,0.029121572,B
292,ASV1688,7.17E-05,0.000378146,0.00026079,0.023688443,B
293,ASV17,0.063450254,0.001473465,0.00187117,2.226496284,A
294,ASV1703,7.82E-05,0.000241231,0.000162994,0.016082062,B
295,ASV171,0.000782371,0,0,0.026079019,A
296,ASV1716,4.56E-05,6.52E-05,0.000299909,0.013691485,C
297,ASV1719,4.56E-05,0,0.000215152,0.008693006,C
298,ASV172,6.52E-05,0.000286869,9.13E-05,0.014778111,B
299,ASV1724,6.52E-05,0.000332507,0,0.013256835,B
300,ASV173,0.000123875,0.015256226,0.000443343,0.527448168,B
301,ASV17330,0,0,0.000299909,0.009996957,C
302,ASV1738,5.87E-05,0.000984483,0.000397705,0.048028861,B
303,ASV1743,6.52E-05,0,0.000352067,0.01390881,C
304,ASV1752,4.56E-05,0.000234711,0.00026079,0.018037988,none
305,ASV178,0.000593298,0.004100926,0.001453905,0.204937628,B
306,ASV1781,3.26E-05,0.000208632,0,0.008041031,B
307,ASV17862,0,0,0.001395228,0.046507585,C
308,ASV17866,0,0,0.000358587,0.011952884,C
309,ASV17869,0,0,0.001427826,0.04759421,C
310,ASV179,0.000176033,0.000306428,0.00027383,0.025209719,none
311,ASV17926,0,0,0.00025427,0.008475681,C
312,ASV17937,0,0,0.000671535,0.022384492,C
313,ASV17939,0,0,0.000299909,0.009996957,C
314,ASV17944,0,0,0.000502021,0.016734037,C
315,ASV17946,0,0,0.001440866,0.048028861,C
316,ASV17953,0,0,0.000358587,0.011952884,C
317,ASV1797,3.26E-05,0,0.000215152,0.008258356,C
318,ASV17977,0,0,0.000749772,0.024992394,C
319,ASV17978,0,0,0.000632416,0.021080541,C
320,ASV17986,0,0,0.000443343,0.014778111,C
321,ASV17994,0,0,0.000280349,0.009344982,C
322,ASV18,0.001662537,0,0.000691094,0.078454383,A
323,ASV18006,0,0,0.000404225,0.01347416,C
324,ASV18011,0,0,0.000932325,0.031077498,C
325,ASV18019,0,0,0.000208632,0.006954405,C
326,ASV18021,0,0,0.000678055,0.022601817,C
327,ASV18065,0,0,0.00026079,0.008693006,C
328,ASV18082,0,0,0.000691094,0.023036467,C
329,ASV18083,0,0,0.000293389,0.009779632,C
330,ASV18092,0,0,0.000234711,0.007823706,C
331,ASV181,0.001799452,0,0,0.059981745,A
332,ASV1810,4.56E-05,0.000325988,9.13E-05,0.015430086,B
333,ASV18108,0,0,0.00027383,0.009127657,C
334,ASV18118,0,0,0.000834529,0.027817621,C
335,ASV18120,0,0,0.000325988,0.010866258,C
336,ASV18205,0,0,0.000580258,0.019341939,C
337,ASV18218,0,0,0.00026079,0.008693006,C
338,ASV18220,0,0,0.000280349,0.009344982,C
339,ASV18227,0,0,0.000782371,0.026079019,C
340,ASV18235,0,0,0.000221672,0.007389056,C
341,ASV18253,0,0,0.00026731,0.008910332,C
342,ASV183,0.000162994,0.000143435,0.000436824,0.024775068,C
343,ASV1831,4.56E-05,0.000606337,0,0.021732516,B
344,ASV18311,0,0,0.000567219,0.018907289,C
345,ASV18351,0,0,0.00026731,0.008910332,C
346,ASV184,0.000404225,0.000436824,0.001427826,0.075629156,C
347,ASV18411,0,0,0.000391185,0.01303951,C
348,ASV18412,0,0,0.000234711,0.007823706,C
349,ASV18517,0,0,0.000345547,0.011518234,C
350,ASV18518,0,0,0.000358587,0.011952884,C
351,ASV18539,0,0,0.000697614,0.023253792,C
352,ASV18571,0,0,0.000286869,0.009562307,C
353,ASV18573,0,0,0.000404225,0.01347416,C
354,ASV186,0.001897249,0,0,0.063241622,A
355,ASV18737,0,0,0.000241231,0.008041031,C
356,ASV1874,5.22E-05,0.000110836,0.000358587,0.017386013,C
357,ASV18759,0,0,0.000293389,0.009779632,C
358,ASV18824,0,0,0.000286869,0.009562307,C
359,ASV1884,5.87E-05,0,0.000352067,0.013691485,C
360,ASV18962,0,0,0.000384666,0.012822185,C
361,ASV19,0.001219194,0,0,0.040639805,A
362,ASV19008,0,0,0.000873647,0.029121572,C
363,ASV19027,0,0,0.000280349,0.009344982,C
364,ASV19074,0,0,0.000247751,0.008258356,C
365,ASV1909,3.26E-05,0.000143435,0.000306428,0.016082062,C
366,ASV19221,0,0,0.000365106,0.012170209,C
367,ASV1925,2.61E-05,0,0.000515061,0.018037988,C
368,ASV1933,4.56E-05,0.000658495,0,0.023471117,B
369,ASV19359,0,0,0.00025427,0.008475681,C
370,ASV194,0.000162994,0.000136915,0.003781458,0.136045551,C
371,ASV1950,0.000169514,0,0.00026079,0.014343461,C
372,ASV19634,0,0,0.00026731,0.008910332,C
373,ASV1969,3.26E-05,0,0.000332507,0.012170209,C
374,ASV1987,3.26E-05,0.000325988,0,0.011952884,B
375,ASV1988,0.000208632,0.000886687,1.30E-05,0.036945278,B
376,ASV19974,0,0,0.000469422,0.015647412,C
377,ASV2,0.068920329,0.000723693,0.000612857,2.341895945,A
378,ASV20,0.009486243,3.91E-05,9.78E-05,0.320771939,A
379,ASV2008,2.61E-05,1.30E-05,0.00026079,0.009996957,C
380,ASV2024,4.56E-05,0.000241231,0.000312948,0.019993915,C
381,ASV2028,5.22E-05,3.26E-05,0.000932325,0.033902725,C
382,ASV2029,2.61E-05,0.000365106,0,0.01303951,B
383,ASV2059,1.96E-05,0.000638936,0,0.021949841,B
384,ASV2060,1.96E-05,0,0.000488982,0.016951363,C
385,ASV2089,1.96E-05,0.000215152,0,0.007823706,B
386,ASV21,0.002744817,0.000736732,0.000580258,0.135393576,A
387,ASV2119,4.56E-05,7.82E-05,0.000456383,0.019341939,C
388,ASV2123,3.26E-05,0,0.000286869,0.010648933,C
389,ASV2137,3.26E-05,0,0.000456383,0.016299387,C
390,ASV2153,2.61E-05,0.000299909,0.000599817,0.030860173,C
391,ASV2168,1.30E-05,0.000195593,0.000208632,0.01390881,C
