,OTUs,A,B,C,size,Class
422,ASV1957,0.0003621,0,0,0.012069983,A
423,ASV1958,0.000374431,0,0,0.012481036,A
424,ASV1959,0.000385642,0.000364342,1.12E-06,0.025036808,A
425,ASV196,0.000375552,2.24E-06,0,0.012593141,A
426,ASV1960,0.000360978,0,0,0.012032615,A
427,ASV1961,0.000376673,0,1.12E-06,0.012593141,A
428,ASV1962,0.000375552,0,0,0.012518404,A
429,ASV1963,0.000349768,0.000312773,0,0.022084707,A
430,ASV1964,0.000322863,0,0,0.010762091,A
431,ASV1965,0.000347526,0,0,0.011584195,A
432,ASV1966,0.000337436,0,0,0.011247879,A
433,ASV1967,0.000317257,0,0,0.010575249,A
434,ASV1968,0.000318379,0,0,0.010612617,A
435,ASV1969,0.000285868,0,0,0.009528934,A
436,ASV197,0.000371068,0.000115468,0,0.016217873,A
437,ASV1970,0.000307168,0,0,0.010238933,A
438,ASV1971,0.000332952,0.000193942,0,0.017563134,A
439,ASV1972,0.000301563,1.12E-06,0.000155826,0.015283663,A
440,ASV1973,0.000271294,0,0,0.009043146,A
441,ASV1974,0.000300442,0,0,0.010014723,A
442,ASV1975,0.000294836,0,0,0.009827881,A
443,ASV1976,0.000297079,0,0,0.009902618,A
444,ASV1977,0.000274658,0.000192821,0,0.01558261,A
445,ASV1978,0.000249994,0,0,0.008333146,A
446,ASV1979,0.00024551,0,0,0.008183673,A
447,ASV198,0.000210758,0,0,0.007025254,A
448,ASV1980,0.000246631,0,0,0.008221041,A
449,ASV1984,0.000402457,0.000261205,0.00041591,0.03598574,none
450,ASV1991,0.000169279,0,0.000473084,0.021412076,C
451,ASV1994,0.000130042,0,0.000505594,0.021187866,C
452,ASV2,0.014663348,0.003182664,0.005253245,0.769975262,A
453,ASV20,0.003655748,0.002552633,0.003098585,0.310232207,none
454,ASV200,0.000395731,0,0,0.013191035,A
455,ASV2002,0.000155826,0.00049102,0.000134526,0.026045754,B
456,ASV2003,0.00095962,0.001636735,0,0.086545145,B
457,ASV2005,6.50E-05,0.000658057,0,0.024102599,B
458,ASV201,0.000371068,0.000281384,0.001282482,0.064497806,C
459,ASV2017,0.000140131,0.000900204,0.001335172,0.079183576,C
460,ASV202,0.001779108,0.002887828,0.002928185,0.253170706,none
461,ASV2024,6.73E-06,0.000561647,0,0.018945764,B
462,ASV2028,3.36E-06,2.24E-06,0.002459586,0.082173045,C
463,ASV2036,3.36E-06,0.000529136,0,0.017749976,B
464,ASV2037,0.000635636,0.001708482,5.61E-06,0.078324103,B
465,ASV2048,0.000304926,0.000836304,0,0.038041001,B
466,ASV2085,6.73E-06,0.001560503,0.000633394,0.07335411,B
467,ASV2089,0.00035201,0,0,0.011733668,A
468,ASV209,0.000557162,0.002735365,0.002971906,0.208814451,none
469,ASV21,0.002865407,0.00040582,0.00241026,0.189382899,A
470,ASV2104,1.12E-06,0.000493262,0.000261205,0.025186281,B
471,ASV2105,1.12E-06,4.60E-05,0.001737629,0.059490445,C
472,ASV214,0.000634515,0.001542566,0,0.072569374,B
473,ASV215,0.000317257,0.0002343,0,0.018385238,A
474,ASV2153,1.12E-06,0.00088563,0,0.029558381,B
475,ASV2160,1.12E-06,0.001163651,0,0.038825736,B
476,ASV2168,0,0.000781373,0,0.026045754,B
477,ASV2172,1.12E-06,0.000571736,0,0.019095237,B
478,ASV2187,0,0.001028004,0,0.034266795,B
479,ASV2190,0.000114347,0.000436089,0,0.01834787,B
480,ASV22,0.002701733,0.000624425,0.002162508,0.182955539,none
481,ASV221,0.000308289,0.000359857,6.84E-05,0.024551019,none
482,ASV2220,0.000382278,0,0,0.012742614,A
483,ASV2231,3.36E-06,0.000293715,1.12E-06,0.009939986,B
484,ASV2249,0.000220847,0,0,0.007361569,A
485,ASV225,0.000295957,0.001271272,0.001916997,0.116140894,C
486,ASV2251,0.000152463,0.000209637,0,0.012069983,B
487,ASV2264,1.12E-06,0.001410282,0.000134526,0.051530982,B
488,ASV2266,0.000135647,0.000263447,0,0.01330314,B
